simplename	broad_host	collection_date	isolation_source	location	host	strain	SRR	SRA	Sample name	BioSample	name1	name2
GCA_900003365.1	unreported					STM192	ERR1592596	ERS569641		SAMEA2822471	GCA_900003365.1|unreported|	ERR1592596|unreported|
GCA_900005965.1	unreported					STM46	ERR1592597	ERS569644		SAMEA2822474	GCA_900005965.1|unreported|	ERR1592597|unreported|
GCA_900003095.1	unreported					STM177	ERR1592598	ERS569645		SAMEA2822475	GCA_900003095.1|unreported|	ERR1592598|unreported|
GCA_900003005.1	unreported					STM199	ERR1592599	ERS569646		SAMEA2822476	GCA_900003005.1|unreported|	ERR1592599|unreported|
GCA_900007435.1	unreported					STM200	ERR1592600	ERS569647		SAMEA2822477	GCA_900007435.1|unreported|	ERR1592600|unreported|
GCA_900003195.1	unreported					STM22	ERR1592601	ERS569648		SAMEA2822478	GCA_900003195.1|unreported|	ERR1592601|unreported|
GCA_900003015.1	unreported					STM201	ERR1592602	ERS569649		SAMEA2822479	GCA_900003015.1|unreported|	ERR1592602|unreported|
GCA_900002915.1	unreported					STM202	ERR1592603	ERS569650		SAMEA2822480	GCA_900002915.1|unreported|	ERR1592603|unreported|
GCA_900002965.1	unreported					STM205	ERR1592604	ERS569651		SAMEA2822481	GCA_900002965.1|unreported|	ERR1592604|unreported|
GCA_900002955.1	unreported					STM203	ERR1592605	ERS569652		SAMEA2822482	GCA_900002955.1|unreported|	ERR1592605|unreported|
GCA_900003205.1	unreported					STM204	ERR1592606	ERS569653		SAMEA2822483	GCA_900003205.1|unreported|	ERR1592606|unreported|
GCA_900003105.1	unreported					STM207	ERR1592607	ERS569654		SAMEA2822484	GCA_900003105.1|unreported|	ERR1592607|unreported|
GCA_900003285.1	unreported					STM206	ERR1592608	ERS569655		SAMEA2822485	GCA_900003285.1|unreported|	ERR1592608|unreported|
GCA_900002975.1	unreported					STM208	ERR1592609	ERS569656		SAMEA2822486	GCA_900002975.1|unreported|	ERR1592609|unreported|
GCA_900016625.1	unreported					STM213	ERR1592610	ERS569657		SAMEA2822487	GCA_900016625.1|unreported|	ERR1592610|unreported|
GCA_900003115.1	unreported					STM212	ERR1592611	ERS569659		SAMEA2822489	GCA_900003115.1|unreported|	ERR1592611|unreported|
GCA_900003325.1	unreported					STM211	ERR1592612	ERS569660		SAMEA2822490	GCA_900003325.1|unreported|	ERR1592612|unreported|
GCA_900003215.1	unreported					STM214	ERR1592613	ERS569661		SAMEA2822491	GCA_900003215.1|unreported|	ERR1592613|unreported|
GCA_900006185.1	unreported						ERR1592614	ERS789131		SAMEA3481711	GCA_900006185.1|unreported|	ERR1592614|unreported|
GCA_900007195.1	unreported						ERR1592615	ERS789132		SAMEA3481712	GCA_900007195.1|unreported|	ERR1592615|unreported|
GCA_900007275.1	unreported						ERR1592616	ERS789133		SAMEA3481713	GCA_900007275.1|unreported|	ERR1592616|unreported|
GCA_001217945.1	human	2005	unknown	United Kingdom: Scotland	Homo sapiens	H145	ERR164777	ERS135974		SAMEA1484070	GCA_001217945.1|human|2005	ERR164777|human|2005
GCA_001222825.1	human	2007	unknown	United Kingdom: Scotland	Homo sapiens	H147	ERR164779	ERS136071		SAMEA1484090	GCA_001222825.1|human|2007	ERR164779|human|2007
GCA_001222565.1	human	2008	unknown	United Kingdom: Scotland	Homo sapiens	H148	ERR164780	ERS135977		SAMEA1484065	GCA_001222565.1|human|2008	ERR164780|human|2008
GCA_001221405.1	human	2008	unknown	United Kingdom: Scotland	Homo sapiens	H149	ERR164781	ERS135978		SAMEA1484046	GCA_001221405.1|human|2008	ERR164781|human|2008
GCA_001220785.1	human	2009	unknown	United Kingdom: Scotland	Homo sapiens	H150	ERR164782	ERS136103		SAMEA1484117	GCA_001220785.1|human|2009	ERR164782|human|2009
GCA_001217545.1	human	2009	unknown	United Kingdom: Scotland	Homo sapiens	H151	ERR164783	ERS135980		SAMEA1483982	GCA_001217545.1|human|2009	ERR164783|human|2009
GCA_001221365.1	human	2010	unknown	United Kingdom: Scotland	Homo sapiens	H153	ERR164785	ERS136073		SAMEA1484084	GCA_001221365.1|human|2010	ERR164785|human|2010
GCA_001217585.1	human	2011	unknown	United Kingdom: Scotland	Homo sapiens	H154	ERR164786	ERS135983		SAMEA1483990	GCA_001217585.1|human|2011	ERR164786|human|2011
GCA_001219005.1	bovine	2005	unknown	United Kingdom: Scotland	bovine	V115	ERR164787	ERS135984		SAMEA1483991	GCA_001219005.1|bovine|2005	ERR164787|bovine|2005
GCA_001219205.1	bovine	2005	unknown	United Kingdom: Scotland	bovine	V116	ERR164788	ERS136074		SAMEA1484086	GCA_001219205.1|bovine|2005	ERR164788|bovine|2005
GCA_001223545.1	bovine	2005	unknown	United Kingdom: Scotland	bovine	V117	ERR164789	ERS135986		SAMEA1483976	GCA_001223545.1|bovine|2005	ERR164789|bovine|2005
GCA_001220445.1	bovine	2006	unknown	United Kingdom: Scotland	bovine	V118	ERR164790	ERS135987		SAMEA1483977	GCA_001220445.1|bovine|2006	ERR164790|bovine|2006
GCA_001220945.1	bovine	2006	unknown	United Kingdom: Scotland	bovine	V119	ERR164791	ERS136117		SAMEA1484027	GCA_001220945.1|bovine|2006	ERR164791|bovine|2006
GCA_001216445.1	porcine	2007	unknown	United Kingdom: Scotland	porcine	V120	ERR164792	ERS135989		SAMEA1483978	GCA_001216445.1|porcine|2007	ERR164792|porcine|2007
GCA_001221105.1	bovine	2008	unknown	United Kingdom: Scotland	bovine	V121	ERR164793	ERS135990		SAMEA1484099	GCA_001221105.1|bovine|2008	ERR164793|bovine|2008
GCA_001219905.1	avian	2008	unknown	United Kingdom: Scotland	pigeon	V122	ERR164794	ERS136076		SAMEA1484077	GCA_001219905.1|avian|2008	ERR164794|avian|2008
GCA_001219185.1	bovine	2008	unknown	United Kingdom: Scotland	bovine	V123	ERR164795	ERS135992		SAMEA1484094	GCA_001219185.1|bovine|2008	ERR164795|bovine|2008
GCA_001221505.1	bovine	2009	unknown	United Kingdom: Scotland	bovine	V124	ERR164796	ERS135993		SAMEA1484093	GCA_001221505.1|bovine|2009	ERR164796|bovine|2009
GCA_001218985.1	porcine	2009	unknown	United Kingdom: Scotland	porcine	V125	ERR164797	ERS136077		SAMEA1484074	GCA_001218985.1|porcine|2009	ERR164797|porcine|2009
GCA_001219085.1	bovine	2010	unknown	United Kingdom: Scotland	bovine	V126	ERR164798	ERS135995		SAMEA1484083	GCA_001219085.1|bovine|2010	ERR164798|bovine|2010
GCA_001219825.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	FAR_EAST	ERR164800	ERS136105		SAMEA1483989	GCA_001219825.1|human|1998	ERR164800|human|1998
GCA_001216125.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	THAILAND	ERR164801	ERS135998		SAMEA1484081	GCA_001216125.1|human|1992	ERR164801|human|1992
GCA_001217705.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	MOROCCO	ERR164802	ERS135999		SAMEA1484082	GCA_001217705.1|human|1995	ERR164802|human|1995
GCA_001222005.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	SPAINe	ERR164803	ERS136079		SAMEA1484114	GCA_001222005.1|human|1997	ERR164803|human|1997
GCA_001220505.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	SPAINf	ERR164804	ERS136001		SAMEA1484079	GCA_001220505.1|human|1992	ERR164804|human|1992
GCA_001214425.1	human	1999	unknown	United Kingdom: Scotland	Homo sapiens	SPAINg	ERR164805	ERS136002		SAMEA1484076	GCA_001214425.1|human|1999	ERR164805|human|1999
GCA_001215925.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	SPAINa	ERR164806	ERS136080		SAMEA1483988	GCA_001215925.1|human|1998	ERR164806|human|1998
GCA_001220645.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	SPAINb	ERR164807	ERS136004		SAMEA1484089	GCA_001220645.1|human|1997	ERR164807|human|1997
GCA_001214485.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	SPAINc	ERR164808	ERS136005		SAMEA1484085	GCA_001214485.1|human|1992	ERR164808|human|1992
GCA_001216465.1	human	1994	unknown	United Kingdom: Scotland	Homo sapiens	SPAINh	ERR164809	ERS136106		SAMEA1483992	GCA_001216465.1|human|1994	ERR164809|human|1994
GCA_001221985.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	SPAINd	ERR164810	ERS136007		SAMEA1484091	GCA_001221985.1|human|1992	ERR164810|human|1992
GCA_001221225.1	human	1991	unknown	United Kingdom: Scotland	Homo sapiens	FRANCEa	ERR164811	ERS136008		SAMEA1484055	GCA_001221225.1|human|1991	ERR164811|human|1991
GCA_001222965.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	GREECE	ERR164812	ERS136082		SAMEA1483993	GCA_001222965.1|human|1995	ERR164812|human|1995
GCA_001223345.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	ITALY	ERR164813	ERS136010		SAMEA1484024	GCA_001223345.1|human|1998	ERR164813|human|1998
GCA_001219445.1	human	2002	unknown	United Kingdom: Scotland	Homo sapiens	UNITED_STATES	ERR164814	ERS136011		SAMEA1484014	GCA_001219445.1|human|2002	ERR164814|human|2002
GCA_001219805.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	SRI_LANKA	ERR164815	ERS136083		SAMEA1483999	GCA_001219805.1|human|1997	ERR164815|human|1997
GCA_001216205.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	MALTAa	ERR164816	ERS136013		SAMEA1484011	GCA_001216205.1|human|1995	ERR164816|human|1995
GCA_001223265.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	MALTAb	ERR164817	ERS136014		SAMEA1484012	GCA_001223265.1|human|1995	ERR164817|human|1995
GCA_001222165.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	MALTAc	ERR164818	ERS136114		SAMEA1484015	GCA_001222165.1|human|1993	ERR164818|human|1993
GCA_001218265.1	human	1994	unknown	United Kingdom: Scotland	Homo sapiens	MALTAd	ERR164819	ERS136016		SAMEA1484006	GCA_001218265.1|human|1994	ERR164819|human|1994
GCA_001220465.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	TURKEYa	ERR164820	ERS136017		SAMEA1484004	GCA_001220465.1|human|1997	ERR164820|human|1997
GCA_001223505.1	human	2001	unknown	United Kingdom: Scotland	Homo sapiens	TURKEYb	ERR164821	ERS136085		SAMEA1484002	GCA_001223505.1|human|2001	ERR164821|human|2001
GCA_001216765.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	SOUTH_AFRICA	ERR164822	ERS136019		SAMEA1483996	GCA_001216765.1|human|1996	ERR164822|human|1996
GCA_001220425.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	FRANCEb	ERR164823	ERS136020		SAMEA1484121	GCA_001220425.1|human|1998	ERR164823|human|1998
GCA_001222405.1	human	2003	unknown	United Kingdom: Scotland	Homo sapiens	CYPRUS	ERR164824	ERS136086		SAMEA1484009	GCA_001222405.1|human|2003	ERR164824|human|2003
GCA_001221565.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	ISRAEL	ERR164825	ERS136022		SAMEA1484139	GCA_001221565.1|human|1997	ERR164825|human|1997
GCA_001220885.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	SPAINi	ERR164826	ERS136023		SAMEA1484102	GCA_001220885.1|human|1996	ERR164826|human|1996
GCA_001223045.1	human	1990	unknown	United Kingdom: Scotland	Homo sapiens	H96	ERR170577	ERS135878		SAMEA1522022	GCA_001223045.1|human|1990	ERR170577|human|1990
GCA_001218065.1	human	1991	unknown	United Kingdom: Scotland	Homo sapiens	H97	ERR170578	ERS135879		SAMEA1522004	GCA_001218065.1|human|1991	ERR170578|human|1991
GCA_001222085.1	human	1991	unknown	United Kingdom: Scotland	Homo sapiens	H98	ERR170579	ERS136109		SAMEA1522007	GCA_001222085.1|human|1991	ERR170579|human|1991
GCA_001217245.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	H99	ERR170580	ERS135881		SAMEA1521995	GCA_001217245.1|human|1992	ERR170580|human|1992
GCA_001219585.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	H100	ERR170581	ERS135882		SAMEA1521998	GCA_001219585.1|human|1992	ERR170581|human|1992
GCA_001219985.1	human	1992	unknown	United Kingdom: Scotland	Homo sapiens	H101	ERR170582	ERS136040		SAMEA1522017	GCA_001219985.1|human|1992	ERR170582|human|1992
GCA_001220105.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H102	ERR170583	ERS135884		SAMEA1521966	GCA_001220105.1|human|1993	ERR170583|human|1993
GCA_001218465.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H103	ERR170584	ERS135885		SAMEA1521954	GCA_001218465.1|human|1993	ERR170584|human|1993
GCA_001221925.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H104	ERR170585	ERS136041		SAMEA1522015	GCA_001221925.1|human|1993	ERR170585|human|1993
GCA_001565975.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H105	ERR170586	ERS135887		SAMEA1521968	GCA_001565975.1|human|1993	ERR170586|human|1993
GCA_001214365.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H106	ERR170587	ERS135888		SAMEA1522029	GCA_001214365.1|human|1993	ERR170587|human|1993
GCA_001221345.1	human	1993	unknown	United Kingdom: Scotland	Homo sapiens	H107	ERR170588	ERS136093		SAMEA1521993	GCA_001221345.1|human|1993	ERR170588|human|1993
GCA_001218825.1	human	1994	unknown	United Kingdom: Scotland	Homo sapiens	H109	ERR170590	ERS135891		SAMEA1522043	GCA_001218825.1|human|1994	ERR170590|human|1994
GCA_001220925.1	human	1994	unknown	United Kingdom: Scotland	Homo sapiens	H110	ERR170591	ERS136043		SAMEA1522027	GCA_001220925.1|human|1994	ERR170591|human|1994
GCA_001221325.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H111	ERR170592	ERS135893		SAMEA1522040	GCA_001221325.1|human|1995	ERR170592|human|1995
GCA_001217865.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H112	ERR170593	ERS135894		SAMEA1522037	GCA_001217865.1|human|1995	ERR170593|human|1995
GCA_001222585.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H113	ERR170594	ERS136044		SAMEA1522034	GCA_001222585.1|human|1995	ERR170594|human|1995
GCA_001221285.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H114	ERR170595	ERS135896		SAMEA1521976	GCA_001221285.1|human|1995	ERR170595|human|1995
GCA_001215765.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H115	ERR170596	ERS135897		SAMEA1521969	GCA_001215765.1|human|1995	ERR170596|human|1995
GCA_001221945.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H116	ERR170597	ERS136094		SAMEA1522014	GCA_001221945.1|human|1995	ERR170597|human|1995
GCA_001221645.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H117	ERR170598	ERS135899		SAMEA1521959	GCA_001221645.1|human|1995	ERR170598|human|1995
GCA_001223165.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H118	ERR170599	ERS135900		SAMEA1521967	GCA_001223165.1|human|1995	ERR170599|human|1995
GCA_001217305.1	human	1995	unknown	United Kingdom: Scotland	Homo sapiens	H119	ERR170600	ERS136046		SAMEA1522046	GCA_001217305.1|human|1995	ERR170600|human|1995
GCA_001218345.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H120	ERR170601	ERS135902		SAMEA1521980	GCA_001218345.1|human|1996	ERR170601|human|1996
GCA_001215865.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H121	ERR170602	ERS135903		SAMEA1521988	GCA_001215865.1|human|1996	ERR170602|human|1996
GCA_001222525.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H122	ERR170603	ERS136047		SAMEA1522042	GCA_001222525.1|human|1996	ERR170603|human|1996
GCA_001223125.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H123	ERR170604	ERS135905		SAMEA1521997	GCA_001223125.1|human|1996	ERR170604|human|1996
GCA_001219025.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H124	ERR170605	ERS135906		SAMEA1521996	GCA_001219025.1|human|1996	ERR170605|human|1996
GCA_001216345.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H125	ERR170606	ERS136115		SAMEA1521964	GCA_001216345.1|human|1996	ERR170606|human|1996
GCA_001221185.1	human	1996	unknown	United Kingdom: Scotland	Homo sapiens	H126	ERR170607	ERS135908		SAMEA1522011	GCA_001221185.1|human|1996	ERR170607|human|1996
GCA_001566155.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	H127	ERR170608	ERS135909		SAMEA1522012	GCA_001566155.1|human|1997	ERR170608|human|1997
GCA_001220685.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	H128	ERR170609	ERS136049		SAMEA1521972	GCA_001220685.1|human|1997	ERR170609|human|1997
GCA_001218365.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	H129	ERR170610	ERS135911		SAMEA1522030	GCA_001218365.1|human|1997	ERR170610|human|1997
GCA_001219725.1	human	1997	unknown	United Kingdom: Scotland	Homo sapiens	H130	ERR170611	ERS135912		SAMEA1522045	GCA_001219725.1|human|1997	ERR170611|human|1997
GCA_001214705.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	H131	ERR170612	ERS136050		SAMEA1521990	GCA_001214705.1|human|1998	ERR170612|human|1998
GCA_001566035.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	H132	ERR170613	ERS135914		SAMEA1521970	GCA_001566035.1|human|1998	ERR170613|human|1998
GCA_001219885.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	H133	ERR170614	ERS135915		SAMEA1521975	GCA_001219885.1|human|1998	ERR170614|human|1998
GCA_001221265.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	H134	ERR170615	ERS136096		SAMEA1522024	GCA_001221265.1|human|1998	ERR170615|human|1998
GCA_001220305.1	human	1998	unknown	United Kingdom: Scotland	Homo sapiens	H135	ERR170616	ERS135917		SAMEA1521955	GCA_001220305.1|human|1998	ERR170616|human|1998
GCA_001218425.1	human	1999	unknown	United Kingdom: Scotland	Homo sapiens	H136	ERR170617	ERS135918		SAMEA1521962	GCA_001218425.1|human|1999	ERR170617|human|1999
GCA_001222025.1	human	2000	unknown	United Kingdom: Scotland	Homo sapiens	H137	ERR170618	ERS136052		SAMEA1521999	GCA_001222025.1|human|2000	ERR170618|human|2000
GCA_001220905.1	human	2000	unknown	United Kingdom: Scotland	Homo sapiens	H138	ERR170619	ERS135920		SAMEA1521984	GCA_001220905.1|human|2000	ERR170619|human|2000
GCA_001216385.1	human	2001	unknown	United Kingdom: Scotland	Homo sapiens	H139	ERR170620	ERS135921		SAMEA1522021	GCA_001216385.1|human|2001	ERR170620|human|2001
GCA_001218785.1	human	2002	unknown	United Kingdom: Scotland	Homo sapiens	H140	ERR170621	ERS136053		SAMEA1521982	GCA_001218785.1|human|2002	ERR170621|human|2002
GCA_001215365.1	human	2003	unknown	United Kingdom: Scotland	Homo sapiens	H141	ERR170622	ERS135923		SAMEA1522018	GCA_001215365.1|human|2003	ERR170622|human|2003
GCA_001217785.1	human	2004	unknown	United Kingdom: Scotland	Homo sapiens	H142	ERR170623	ERS135924		SAMEA1522009	GCA_001217785.1|human|2004	ERR170623|human|2004
GCA_001221005.1	bovine	1990	unknown	United Kingdom: Scotland	bovine	V68	ERR170624	ERS136097		SAMEA1522005	GCA_001221005.1|bovine|1990	ERR170624|bovine|1990
GCA_001218025.1	bovine	1991	unknown	United Kingdom: Scotland	bovine	V69	ERR170625	ERS135926		SAMEA1522044	GCA_001218025.1|bovine|1991	ERR170625|bovine|1991
GCA_001220345.1	bovine	1991	unknown	United Kingdom: Scotland	bovine	V70	ERR170626	ERS135927		SAMEA1522038	GCA_001220345.1|bovine|1991	ERR170626|bovine|1991
GCA_001215145.1	bovine	1992	unknown	United Kingdom: Scotland	bovine	V71	ERR170627	ERS136055		SAMEA1522016	GCA_001215145.1|bovine|1992	ERR170627|bovine|1992
GCA_001222245.1	bovine	1992	unknown	United Kingdom: Scotland	bovine	V72	ERR170628	ERS135929		SAMEA1522035	GCA_001222245.1|bovine|1992	ERR170628|bovine|1992
GCA_001215505.1	bovine	1992	unknown	United Kingdom: Scotland	bovine	V73	ERR170629	ERS135930		SAMEA1521979	GCA_001215505.1|bovine|1992	ERR170629|bovine|1992
GCA_001214765.1	bovine	1993	unknown	United Kingdom: Scotland	bovine	V74	ERR170630	ERS136056		SAMEA1522023	GCA_001214765.1|bovine|1993	ERR170630|bovine|1993
GCA_001221845.1	bovine	1993	unknown	United Kingdom: Scotland	bovine	V75	ERR170631	ERS135932		SAMEA1521992	GCA_001221845.1|bovine|1993	ERR170631|bovine|1993
GCA_001219365.1	porcine	1993	unknown	United Kingdom: Scotland	porcine	V76	ERR170632	ERS135933		SAMEA1521994	GCA_001219365.1|porcine|1993	ERR170632|porcine|1993
GCA_001219765.1	bovine	1993	unknown	United Kingdom: Scotland	bovine	V77	ERR170633	ERS136111		SAMEA1522031	GCA_001219765.1|bovine|1993	ERR170633|bovine|1993
GCA_001223085.1	canine	1994	unknown	United Kingdom: Scotland	canine	V78	ERR170634	ERS135935		SAMEA1521957	GCA_001223085.1|canine|1994	ERR170634|canine|1994
GCA_001566095.1	bovine	1994	unknown	United Kingdom: Scotland	bovine	V79	ERR170635	ERS135936		SAMEA1521974	GCA_001566095.1|bovine|1994	ERR170635|bovine|1994
GCA_001221785.1	canine	1994	unknown	United Kingdom: Scotland	canine	V80	ERR170636	ERS136058		SAMEA1522003	GCA_001221785.1|canine|1994	ERR170636|canine|1994
GCA_001217205.1	bovine	1994	unknown	United Kingdom: Scotland	bovine	V81	ERR170637	ERS135938		SAMEA1522036	GCA_001217205.1|bovine|1994	ERR170637|bovine|1994
GCA_001326135.1	bovine	1994	unknown	United Kingdom: Scotland	bovine	V82	ERR170638	ERS135939		SAMEA1522032	GCA_001326135.1|bovine|1994	ERR170638|bovine|1994
GCA_001222605.1	bovine	1994	unknown	United Kingdom: Scotland	bovine	V83	ERR170639	ERS136059		SAMEA1522006	GCA_001222605.1|bovine|1994	ERR170639|bovine|1994
GCA_001221685.1	bovine	1994	unknown	United Kingdom: Scotland	bovine	V84	ERR170640	ERS135941		SAMEA1522019	GCA_001221685.1|bovine|1994	ERR170640|bovine|1994
GCA_001215665.1	porcine	1994	unknown	United Kingdom: Scotland	porcine	V85	ERR170641	ERS135942		SAMEA1522025	GCA_001215665.1|porcine|1994	ERR170641|porcine|1994
GCA_001218565.1	feline	1995	unknown	United Kingdom: Scotland	feline	V86	ERR170642	ERS136099		SAMEA1522039	GCA_001218565.1|feline|1995	ERR170642|feline|1995
GCA_001221205.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V87	ERR170643	ERS135944		SAMEA1522002	GCA_001221205.1|bovine|1995	ERR170643|bovine|1995
GCA_001223205.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V88	ERR170644	ERS135945		SAMEA1522008	GCA_001223205.1|bovine|1995	ERR170644|bovine|1995
GCA_001218665.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V89	ERR170645	ERS136061		SAMEA1522013	GCA_001218665.1|bovine|1995	ERR170645|bovine|1995
GCA_001223365.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V90	ERR170646	ERS135947		SAMEA1521991	GCA_001223365.1|bovine|1995	ERR170646|bovine|1995
GCA_001217845.1	ovine	1995	unknown	United Kingdom: Scotland	ovine	V91	ERR170647	ERS135948		SAMEA1521986	GCA_001217845.1|ovine|1995	ERR170647|ovine|1995
GCA_001222665.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V92	ERR170648	ERS136062		SAMEA1521981	GCA_001222665.1|bovine|1995	ERR170648|bovine|1995
GCA_001222325.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V93	ERR170649	ERS135950		SAMEA1522026	GCA_001222325.1|bovine|1995	ERR170649|bovine|1995
GCA_001219565.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V94	ERR170650	ERS135951		SAMEA1522048	GCA_001219565.1|bovine|1995	ERR170650|bovine|1995
GCA_001221745.1	bovine	1995	unknown	United Kingdom: Scotland	bovine	V95	ERR170651	ERS136100		SAMEA1521987	GCA_001221745.1|bovine|1995	ERR170651|bovine|1995
GCA_001216785.1	ovine	1995	unknown	United Kingdom: Scotland	ovine	V96	ERR170652	ERS135953		SAMEA1521961	GCA_001216785.1|ovine|1995	ERR170652|ovine|1995
GCA_001220205.1	ovine	1996	unknown	United Kingdom: Scotland	ovine	V97	ERR170653	ERS135954		SAMEA1521956	GCA_001220205.1|ovine|1996	ERR170653|ovine|1996
GCA_001220325.1	bovine	1996	unknown	United Kingdom: Scotland	bovine	V98	ERR170654	ERS136064		SAMEA1521985	GCA_001220325.1|bovine|1996	ERR170654|bovine|1996
GCA_001222725.1	bovine	1996	unknown	United Kingdom: Scotland	bovine	V99	ERR170655	ERS135956		SAMEA1521977	GCA_001222725.1|bovine|1996	ERR170655|bovine|1996
GCA_001221545.1	bovine	1996	unknown	United Kingdom: Scotland	bovine	V100	ERR170656	ERS135957		SAMEA1521971	GCA_001221545.1|bovine|1996	ERR170656|bovine|1996
GCA_001223525.1	bovine	1996	unknown	United Kingdom: Scotland	bovine	V101	ERR170657	ERS136065		SAMEA1521989	GCA_001223525.1|bovine|1996	ERR170657|bovine|1996
GCA_001218885.1	bovine	1996	unknown	United Kingdom: Scotland	bovine	V102	ERR170658	ERS135959		SAMEA1521978	GCA_001218885.1|bovine|1996	ERR170658|bovine|1996
GCA_001219705.1	bovine	1997	unknown	United Kingdom: Scotland	bovine	V103	ERR170659	ERS135960		SAMEA1522000	GCA_001219705.1|bovine|1997	ERR170659|bovine|1997
GCA_001222785.1	bovine	1997	unknown	United Kingdom: Scotland	bovine	V104	ERR170660	ERS136112		SAMEA1521973	GCA_001222785.1|bovine|1997	ERR170660|bovine|1997
GCA_001222365.1	bovine	1997	unknown	United Kingdom: Scotland	bovine	V105	ERR170661	ERS135962		SAMEA1522020	GCA_001222365.1|bovine|1997	ERR170661|bovine|1997
GCA_001214965.1	bovine	1997	unknown	United Kingdom: Scotland	bovine	V106	ERR170662	ERS135963		SAMEA1522010	GCA_001214965.1|bovine|1997	ERR170662|bovine|1997
GCA_001216085.1	avian	1998	unknown	United Kingdom: Scotland	poultry	V107	ERR170663	ERS136067		SAMEA1521958	GCA_001216085.1|avian|1998	ERR170663|avian|1998
GCA_001220285.1	bovine	1998	unknown	United Kingdom: Scotland	bovine	V108	ERR170664	ERS135965		SAMEA1522049	GCA_001220285.1|bovine|1998	ERR170664|bovine|1998
GCA_001217985.1	bovine	1999	unknown	United Kingdom: Scotland	bovine	V109	ERR170665	ERS135966		SAMEA1522041	GCA_001217985.1|bovine|1999	ERR170665|bovine|1999
GCA_001223285.1	bovine	1999	unknown	United Kingdom: Scotland	bovine	V110	ERR170666	ERS136068		SAMEA1521965	GCA_001223285.1|bovine|1999	ERR170666|bovine|1999
GCA_001220125.1	porcine	2001	unknown	United Kingdom: Scotland	porcine	V111	ERR170667	ERS135968		SAMEA1522033	GCA_001220125.1|porcine|2001	ERR170667|porcine|2001
GCA_001219465.1	equine	2002	unknown	United Kingdom: Scotland	equine	V112	ERR170668	ERS135969		SAMEA1522028	GCA_001219465.1|equine|2002	ERR170668|equine|2002
